city,city_eng,latitude,longitude
稚内,Wakkanai,45.4156,141.6734
留萌,Rumoi,43.9410,141.6369
旭川,Asahikawa,43.7709,142.3650
網走,Abashiri,44.0206,144.2735
札幌,Sapporo,43.0618,141.3545
岩見沢,Iwamizawa,43.1753,141.8310
帯広,Obihiro,42.9233,143.1972
釧路,Kushiro,42.9849,144.3818
根室,Nemuro,43.3301,145.5828
室蘭,Muroran,42.3152,140.9738
浦河,Urakawa,42.1686,142.7685
江差,Esashi,41.8692,140.1275
函館,Hakodate,41.7687,140.7291
倶知安,Kutchan,42.9023,140.7565
紋別,Monbetsu,44.3564,143.3544
広尾,Hiroo,35.6518,139.7179
新庄,Shinjō,38.7650,140.3017
青森,Aomori,40.8222,140.7474
八戸,Hachinohe,40.5122,141.4883
秋田,Akita,39.7200,140.1035
盛岡,Morioka,39.7020,141.1543
宮古,MiyakoIslands,24.7674,125.3247
酒田,Sakata,38.9148,139.8366
山形,Yamagata,38.2554,140.3396
仙台,Sendai,38.2682,140.8694
福島,Fukushima,37.3834,140.1833
新潟,Niigata,37.9161,139.0364
金沢,Kanazawa,36.5610,136.6566
富山,Toyama,36.6958,137.2137
長野,Nagano,36.1544,137.9218
宇都宮,Utsunomiya,36.5551,139.8826
福井,Fukui,36.0641,136.2196
高山,Takayama,36.1461,137.2522
松本,Matsumoto,36.2380,137.9720
前橋,Maebashi,36.3895,139.0634
熊谷,Kumagaya,36.1472,139.3890
水戸,Mito,36.3659,140.4714
敦賀,Tsuruga,35.6459,136.0557
岐阜,Gifu,35.4234,136.7606
名古屋,Nagoya,35.1815,136.9066
飯田,Iida,35.5149,137.8217
甲府,Kofu,35.6621,138.5683
銚子,Choshi,35.7340,140.8267
浜松,Hamamatsu,34.7103,137.7274
静岡,Shizuoka,35.0929,138.3190
東京,Tokyo,35.6804,139.7690
尾鷲,Owase,34.0708,136.1909
横浜,Yokohama,35.4437,139.6380
館山,Tateyama,34.9965,139.8700
三宅島,Miyake-jima,34.0788,139.5178
八丈島,Hachijō-jima,33.1030,139.8036
米子,Yonago,35.4281,133.3310
鳥取,Tottori,35.3573,133.4067
豊岡,Toyooka,35.5446,134.8202
舞鶴,Maizuru,35.4748,135.3862
浜田,Hamada,34.8994,132.0803
京都,Kyoto,35.0116,135.7681
彦根,Hikone,35.2744,136.2597
広島,Hiroshima,34.3853,132.4553
岡山,Okayama,34.8963,133.6375
神戸,Kobe,34.6901,135.1956
大阪,Osaka,34.6937,135.5023
洲本,Sumoto,34.3429,134.8953
和歌山,Wakayama,34.2304,135.1707
潮岬,hionomisaki,33.4370,135.7535
奈良,Nara,34.6851,135.8048
松山,Matsuyama,33.8394,132.7653
高松,Takamatsu,34.3425,134.0465
宇和島,Uwajima,33.2236,132.5604
高知,Kōchi,33.5481,133.2522
徳島,Tokushima,33.9420,134.3237
下関,Shimonoseki,33.9575,130.9412
厳原,Izuhara,34.1978,129.2912
福岡,Fukuoka,33.5663,130.7159
佐賀,Saga,33.3078,130.2271
大分,Ōita,33.1589,131.3611
福江,FukueIsland,32.7019,128.7578
長崎,Nagasaki,32.7503,129.8779
熊本,Kumamoto,32.8032,130.7079
延岡,Nobeoka,32.5823,131.6651
鹿児島,Kagoshima,31.3912,130.8779
宮崎,Miyazaki,32.6036,131.4413
屋久島,Yakushima,30.3446,130.5127
種子島,Tanegashima,30.6096,130.9789
与那国島,Yonaguni,24.4560,122.9945
石垣島,Ishigaki,24.4064,124.1754
宮古島,Miyako-jima,24.7674,125.3247
久米島,Kume-jima,26.3504,126.7712
那覇,Naha,26.2126,127.6790
南大東島,Minamidaitō-jima,25.8488,131.2507
津,Tsu,34.7186,136.5052
松江,Matsue,35.4682,133.0484
名瀬,Naze,35.4349,139.5356
大島,Oshima,28.2678,129.3621
高田,Takada,34.5245,135.7476
西郷,Nishigo,37.1418,140.1554
