city,city_eng,latitude,longitude
稚内,Wakkanai,45.4156,141.6734
旭川,Asahikawa,43.7709,142.3650
網走,Abashiri,44.0206,144.2735
札幌,Sapporo,43.0618,141.3545
帯広,Obihiro,42.9233,143.1972
釧路,Kushiro,42.9849,144.3818
室蘭,Muroran,42.3152,140.9738
函館,Hakodate,41.7687,140.7291
青森,Aomori,40.8222,140.7474
秋田,Akita,39.7200,140.1035
盛岡,Morioka,39.7020,141.1543
山形,Yamagata,38.2554,140.3396
仙台,Sendai,38.2682,140.8694
福島,Fukushima,37.3834,140.1833
新潟,Niigata,37.9161,139.0364
金沢,Kanazawa,36.5610,136.6566
富山,Toyama,36.6958,137.2137
長野,Nagano,36.1544,137.9218
宇都宮,Utsunomiya,36.5551,139.8826
福井,Fukui,36.0641,136.2196
前橋,Maebashi,36.3895,139.0634
熊谷,Kumagaya,36.1472,139.3890
水戸,Mito,36.3659,140.4714
岐阜,Gifu,35.4234,136.7606
名古屋,Nagoya,35.1815,136.9066
甲府,Kofu,35.6621,138.5683
銚子,Choshi,35.7340,140.8267
静岡,Shizuoka,35.0929,138.3190
東京,Tokyo,35.6804,139.7690
横浜,Yokohama,35.4437,139.6380
鳥取,Tottori,35.3573,133.4067
京都,Kyoto,35.0116,135.7681
彦根,Hikone,35.2744,136.2597
広島,Hiroshima,34.8823,133.0195
岡山,Okayama,34.8963,133.6375
神戸,Kobe,34.6901,135.1956
大阪,Osaka,34.6413,135.5629
和歌山,Wakayama,34.2304,135.1707
奈良,Nara,34.6851,135.8048
松山,SongshanDistrict,25.0542,121.5639
高松,Takamatsu,34.3425,134.0465
高知,Kochi,33.5481,133.2522
徳島,Tokushima,33.9420,134.3237
下関,Shimonoseki,33.9575,130.9412
福岡,Fukuoka,33.5663,130.7159
佐賀,Saga,33.3078,130.2271
大分,Oita,33.1589,131.3611
長崎,Nagasaki,33.2489,129.6931
熊本,Kumamoto,32.8032,130.7079
鹿児島,Kagoshima,31.3912,130.8779
宮崎,Miyazaki,32.6036,131.4413
石垣島,Ishigaki,24.4064,124.1754
宮古島,Miyako-jima,24.7674,125.3247
那覇,Naha,26.2126,127.6790
南大東島,Minamidaito-jima,25.8488,131.2507
津,Tsu,34.7186,136.5052
松江,Matsue,35.4682,133.0484
名瀬,Naze,35.4349,139.5356
