city,city_eng,coord
稚内,Wakkanai,"45.4156° N, 141.6734° E"
旭川,Asahikawa,"43.7709° N, 142.3650° E"
網走,Abashiri,"44.0206° N, 144.2735° E"
札幌,Sapporo,"43.0618° N, 141.3545° E"
帯広,Obihiro,"42.9233° N, 143.1972° E"
釧路,Kushiro,"42.9849° N, 144.3818° E"
室蘭,Muroran,"42.3152° N, 140.9738° E"
函館,Hakodate,"41.7687° N, 140.7291° E"
青森,Aomori,"40.8222° N, 140.7474° E"
秋田,Akita,"39.7200° N, 140.1035° E"
盛岡,Morioka,"39.7020° N, 141.1543° E"
山形,Yamagata,"38.2554° N, 140.3396° E"
仙台,Sendai,"38.2682° N, 140.8694° E"
福島,Fukushima Prefecture,"37.3834° N, 140.1833° E"
新潟,Niigata,"37.9161° N, 139.0364° E"
金沢,Kanazawa,"36.5610° N, 136.6566° E"
富山,Toyama,"36.6958° N, 137.2137° E"
長野,Nagano Prefecture,"36.1544° N, 137.9218° E"
宇都宮,Utsunomiya,"36.5551° N, 139.8826° E"
福井,Fukui,"36.0641° N, 136.2196° E"
前橋,Maebashi,"36.3895° N, 139.0634° E"
熊谷,Kumagaya,"36.1472° N, 139.3890° E"
水戸,Mito,"36.3659° N, 140.4714° E"
岐阜,Gifu,"35.4234° N, 136.7606° E"
名古屋,Nagoya,"35.1815° N, 136.9066° E"
甲府,Kofu,"35.6621° N, 138.5683° E"
銚子,Choshi,"35.7340° N, 140.8267° E"
静岡,Shizuoka Prefecture,"35.0929° N, 138.3190° E"
東京,Tokyo,"35.6804° N, 139.7690° E"
横浜,Yokohama,"35.4437° N, 139.6380° E"
鳥取,Tottori Prefecture,"35.3573° N, 133.4067° E"
京都,Kyoto,"35.0116° N, 135.7681° E"
彦根,"Hikone, Shiga","35.2744° N, 136.2597° E"
広島,Hiroshima Prefecture,"34.8823° N, 133.0195° E"
岡山,Okayama Prefecture,"34.8963° N, 133.6375° E"
神戸,Kobe,"34.6901° N, 135.1956° E"
大阪,Osaka Prefecture,"34.6413° N, 135.5629° E"
和歌山,Wakayama,"34.2304° N, 135.1707° E"
奈良,Nara,"34.6851° N, 135.8048° E"
松山,Songshan District,"25.0542° N, 121.5639° E"
高松,Takamatsu,"34.3425° N, 134.0465° E"
高知,Kōchi Prefecture,"33.5481° N, 133.2522° E"
徳島,Tokushima Prefecture,"33.9420° N, 134.3237° E"
下関,Shimonoseki,"33.9575° N, 130.9412° E"
福岡,Fukuoka Prefecture,"33.5663° N, 130.7159° E"
佐賀,Saga Prefecture,"33.3078° N, 130.2271° E"
大分,Ōita Prefecture,"33.1589° N, 131.3611° E"
長崎,Nagasaki Prefecture,"33.2489° N, 129.6931° E"
熊本,Kumamoto,"32.8032° N, 130.7079° E"
鹿児島,Kagoshima Prefecture,"31.3912° N, 130.8779° E"
宮崎,Miyazaki Prefecture,"32.6036° N, 131.4413° E"
石垣島,Ishigaki,"24.4064° N, 124.1754° E"
宮古島,Miyako-jima,"24.7674° N, 125.3247° E"
那覇,Naha,"26.2126° N, 127.6790° E"
南大東島,Minamidaitōjima,"25.8488° N, 131.2507° E"
