loc,2011_full,2012_full,2013_full,2014_full,2015_full,2016_full,2017_full,2018_full,2019_full,2001_full,2002_full,2003_full,2004_full,2005_full,2006_full,2007_full,2008_full,2009_full,2010_full
稚内,0525,0518,0528,0513,0506,0515,0511,0515,0509,0519,0502,0514,0512,0528,0520,0517,0505,0512,0525
留萌,,,,,,,,,,0514,0502,0513,0513,0523,0516,0514,0501,,
旭川,0512,0502,0520,0504,0428,0504,0505,0501,0504,0507,0425,0504,0509,0517,0512,0508,0426,0504,0513
網走,0518,0505,0527,0511,0503,0510,0507,0506,0507,0513,0501,0512,0513,0525,0517,0516,0505,0507,0518
札幌,0512,0502,0517,0501,0426,0501,0503,0429,0429,0505,0425,0504,0509,0516,0512,0508,0425,0504,0514
岩見沢,,,,,,,,,,0507,0425,0503,0507,0513,0512,,,,
帯広,0509,0507,0516,0429,0428,0503,0502,0428,0430,0501,0427,0503,0508,0510,0512,0508,0430,0504,0511
釧路,0521,0520,0525,0514,0508,0513,0518,0514,0513,0521,0513,0526,0519,0526,0521,0520,0519,0514,0522
根室,,,,,,,,,,0524,0513,0528,0519,0529,0522,0523,0522,0516,0524
室蘭,0513,0514,0521,0505,0501,0502,0504,0501,0504,0514,0428,0506,0508,0520,0516,0512,0502,0507,0518
浦河,,,,,,,,,,0513,0502,0513,0514,0520,0515,0510,0506,0508,
江差,,,,,,,,,,0504,0421,0503,0505,0512,0510,0506,,,
函館,0506,0505,0512,0501,0424,0426,0430,0428,0429,0503,0421,0502,0430,0505,0512,0504,0426,0501,0510
倶知安,,,,,,,,,,0512,0428,0508,0509,0520,0517,,,,
紋別,,,,,,,,,,0514,0430,0511,0513,0526,0518,0521,,,
広尾,,,,,,,,,,,,,,,,,,,
新庄,,,,,,,,,,,,,,,,,,,
青森,0428,0501,0506,0425,0419,0421,0421,0422,0422,0427,0416,0427,0421,0502,0506,0429,0421,0422,0502
八戸,,,,,,,,,,0424,0416,0425,0419,0429,0502,0429,,,
秋田,0427,0426,0429,0424,0415,0419,0419,0420,0420,0418,0412,0421,0416,0428,0426,0423,0415,0419,0428
盛岡,0429,0428,0502,0421,0416,0418,0424,0420,0422,0418,0416,0421,0417,0427,0430,0429,0417,0418,0502
宮古,,,,,,,,,,0417,0413,0419,0414,0424,0428,0427,,,
酒田,,,,,,,,,,0415,0408,0416,0412,0425,0421,0419,0413,0414,
