loc,2011,2012,2013,2014,2015,2016,2017,2018,2019
稚内,0525,0518,0528,0513,0506,0515,0511,0515,0509
留萌,,,,,,,,,
旭川,0512,0502,0520,0504,0428,0504,0505,0501,0504
網走,0518,0505,0527,0511,0503,0510,0507,0506,0507
札幌,0512,0502,0517,0501,0426,0501,0503,0429,0429
岩見沢,,,,,,,,,
帯広,0509,0507,0516,0429,0428,0503,0502,0428,0430
釧路,0521,0520,0525,0514,0508,0513,0518,0514,0513
根室,,,,,,,,,
室蘭,0513,0514,0521,0505,0501,0502,0504,0501,0504
浦河,,,,,,,,,
江差,,,,,,,,,
函館,0506,0505,0512,0501,0424,0426,0430,0428,0429
倶知安,,,,,,,,,
紋別,,,,,,,,,
広尾,,,,,,,,,
新庄,,,,,,,,,
青森,0428,0501,0506,0425,0419,0421,0421,0422,0422
八戸,,,,,,,,,
秋田,0427,0426,0429,0424,0415,0419,0419,0420,0420
盛岡,0429,0428,0502,0421,0416,0418,0424,0420,0422
宮古,,,,,,,,,
酒田,,,,,,,,,
山形,0425,0426,0419,0417,0415,0410,0417,0411,0417
仙台,0415,0423,0415,0411,0409,0406,0413,0404,0410
福島,0415,0420,0408,0411,0406,0403,0412,0402,0408
白河,,,,,,,,,
小名浜,,,,,,,,,
輪島,,,,,,,,,
相川,,,,,,,,,
新潟,0418,0420,0412,0412,0409,0407,0413,0405,0412
金沢,0412,0413,0405,0407,0404,0404,0408,0403,0406
富山,0411,0416,0406,0408,0404,0401,0408,0330,0405
長野,0421,0421,0415,0417,0410,0408,0417,0406,0418
高田,,,,,,,,,
宇都宮,0412,0412,0329,0404,0402,0404,0409,0329,0409
福井,0413,0413,0402,0403,0403,0331,0407,0402,0405
高山,,,,,,,,,
松本,,,,,,,,,
前橋,0411,0412,0401,0403,0401,0401,0407,0328,0407
熊谷,0408,0410,0326,0401,0330,0401,0407,0326,0404
水戸,0412,0412,0401,0402,0404,0406,0410,0328,0405
敦賀,,,,,,,,,
岐阜,0404,0406,0329,0331,0330,0331,0404,0326,0402
名古屋,0406,0406,0328,0331,0330,0331,0406,0327,0404
飯田,,,,,,,,,
甲府,0408,0407,0326,0404,0331,0403,0409,0329,0407
銚子,0412,0411,0328,0404,0406,0406,0410,0328,0405
津,0405,0408,0330,0401,0331,0402,0405,0329,0403
浜松,,,,,,,,,
静岡,0404,0401,0323,0331,0401,0405,0412,0327,0406
東京,0406,0406,0322,0330,0329,0331,0402,0324,0327
尾鷲,,,,,,,,,
横浜,0408,0409,0322,0331,0331,0402,0406,0327,0401
館山,,,,,,,,,
大島,,,,,,,,,
三宅島,,,,,,,,,
八丈島,,,,,,,,,
西郷,,,,,,,,,
松江,0412,0410,0331,0402,0402,0330,0407,0329,0401
米子,,,,,,,,,
鳥取,0408,0410,0329,0402,0401,0331,0407,0328,0404
豊岡,,,,,,,,,
舞鶴,0410,0412,,,,,,,
京都,0407,0409,0330,0402,0401,0402,0407,0328,0406
彦根,0411,0412,0405,0409,0404,0405,0409,0401,0408
広島,0410,0409,0329,0330,0330,0402,0407,0328,0403
岡山,0407,0409,0331,0402,0402,0401,0407,0328,0405
神戸,0410,0409,0331,0401,0402,0403,0410,0329,0406
大阪,0407,0409,0329,0402,0401,0401,0406,0326,0404
洲本,,,,,,,,,
和歌山,0407,0404,0326,0331,0330,0331,0407,0327,0401
潮岬,,,,,,,,,
奈良,0408,0409,0329,0401,0331,0402,0408,0329,0405
松山,0406,0404,0327,0329,0401,0403,0408,0327,0405
高松,0408,0406,0330,0331,0401,0404,0408,0329,0404
宇和島,,,,,,,,,
高知,0331,0327,0322,0325,0330,0402,0406,0319,0329
徳島,0408,0405,0330,0401,0403,0408,0410,0328,0407
下関,0407,0406,0328,0330,0401,0403,0407,0329,0405
厳原,,,,,,,,,
福岡,0402,0401,0322,0327,0329,0330,0405,0327,0329
佐賀,0405,0403,0325,0326,0331,0331,0408,0327,0401
大分,0405,0403,0325,0330,0403,0408,0413,0330,0406
福江,,,,,,,,,
長崎,0407,0402,0323,0327,0331,0330,0407,0326,0403
熊本,0407,0402,0322,0327,0331,0402,0408,0326,0404
延岡,,,,,,,,,
鹿児島,0405,0405,0326,0331,0331,0406,0415,0329,0409
宮崎,0404,0403,0322,0328,0401,0405,0409,0326,0405
屋久島,,,,,,,,,
種子島,,,,,,,,,
名瀬,0207,0130,0128,0131,0129,0202,0213,0205,0207
与那国島,,,,,,,,,
石垣島,0210,0209,0214,0210,0124,0302,0219,0207,0208
宮古島,0128,0130,0201,0203,0204,0225,0227,0208,
久米島,,,,,,,,,
那覇,0202,0206,0123,0127,0129,0212,0208,0130,0212
名護,,,,,,,,,
西表島,,,,,,,,,
南大東島,0204,0201,0121,0122,0213,0301,0214,0129,0212
