city,city_eng,latitude,longitude,start_date,full_date
稚内,Wakkanai,45.4156,141.6734,2000-05-11,2000-05-15
旭川,Asahikawa,43.7709,142.365,2000-05-03,2000-05-04
網走,Abashiri,44.0206,144.2735,2000-05-07,2000-05-11
札幌,Sapporo,43.0618,141.3545,2000-04-29,2000-05-04
帯広,Obihiro,42.9233,143.1972,2000-05-01,2000-05-03
釧路,Kushiro,42.9849,144.3818,2000-05-15,2000-05-19
室蘭,Muroran,42.3152,140.9738,2000-05-02,2000-05-07
函館,Hakodate,41.7687,140.7291,2000-04-27,2000-05-01
青森,Aomori,40.8222,140.7474,2000-04-19,2000-04-25
秋田,Akita,39.72,140.1035,2000-04-16,2000-04-20
盛岡,Morioka,39.702,141.1543,2000-04-16,2000-04-21
山形,Yamagata,38.2554,140.3396,2000-04-12,2000-04-17
仙台,Sendai,38.2682,140.8694,2000-04-07,2000-04-12
福島,Fukushima,37.3834,140.1833,2000-04-06,2000-04-10
新潟,Niigata,37.9161,2000-01-39364,2000-04-06,2000-04-12
金沢,Kanazawa,36.561,136.6566,2000-04-01,2000-04-07
富山,Toyama,36.6958,137.2137,2000-04-01,2000-04-08
長野,Nagano,36.1544,137.9218,2000-04-09,2000-04-15
宇都宮,Utsunomiya,36.5551,139.8826,2000-03-28,2000-04-04
福井,Fukui,36.0641,136.2196,2000-03-31,2000-04-06
前橋,Maebashi,36.3895,2000-01-39634,2000-03-28,2000-04-04
熊谷,Kumagaya,36.1472,139.389,2000-03-25,2000-04-03
水戸,Mito,36.3659,140.4714,2000-03-28,2000-04-05
岐阜,Gifu,35.4234,136.7606,2000-03-23,2000-04-01
名古屋,Nagoya,35.1815,136.9066,2000-03-22,2000-04-02
甲府,Kofu,35.6621,138.5683,2000-03-24,2000-03-31
銚子,Choshi,35.734,140.8267,2000-03-29,2000-04-05
津,Tsu,34.7186,136.5052,2000-03-28,2000-04-02
静岡,Shizuoka,35.0929,138.319,2000-03-21,2000-03-31
東京,Tokyo,35.6804,139.769,2000-03-21,2000-03-29
横浜,Yokohama,35.4437,139.638,2000-03-22,2000-03-31
松江,Matsue,35.4682,2000-01-33484,2000-03-26,2000-04-03
鳥取,Tottori,35.3573,133.4067,2000-03-26,2000-04-04
京都,Kyoto,35.0116,135.7681,2000-03-24,2000-04-03
彦根,Hikone,35.2744,136.2597,2000-03-31,2000-04-08
広島,Hiroshima,34.3853,132.4553,2000-03-22,2000-04-02
岡山,Okayama,34.8963,133.6375,2000-03-26,2000-04-04
神戸,Kobe,34.6901,135.1956,2000-03-26,2000-04-04
大阪,Osaka,34.6937,135.5023,2000-03-26,2000-04-03
和歌山,Wakayama,34.2304,135.1707,2000-03-23,2000-04-01
奈良,Nara,34.6851,135.8048,2000-03-26,2000-04-04
松山,Matsuyama,33.8394,132.7653,2000-03-23,2000-04-02
高松,Takamatsu,34.3425,2000-01-34465,2000-03-26,2000-04-04
高知,Kōchi,33.5481,133.2522,2000-03-19,2000-03-28
徳島,Tokushima,33.942,134.3237,2000-03-27,2000-04-03
下関,Shimonoseki,33.9575,130.9412,2000-03-25,2000-04-02
福岡,Fukuoka,33.5663,130.7159,2000-03-21,2000-03-30
佐賀,Saga,33.3078,130.2271,2000-03-22,2000-03-31
大分,Ōita,33.1589,131.3611,2000-03-23,2000-04-03
長崎,Nagasaki,32.7503,129.8779,2000-03-22,2000-04-01
熊本,Kumamoto,32.8032,130.7079,2000-03-21,2000-04-01
鹿児島,Kagoshima,31.3912,130.8779,2000-03-24,2000-04-05
宮崎,Miyazaki,32.6036,131.4413,2000-03-22,2000-04-02
名瀬,Naze,35.4349,139.5356,2000-01-21,2000-02-02
石垣島,Ishigaki,24.4064,124.1754,2000-01-17,2000-02-09
宮古島,Miyako-jima,24.7674,125.3247,2000-01-19,2000-02-08
那覇,Naha,26.2126,127.679,2000-01-15,2000-02-05
南大東島,Minamidaitō-jima,25.8488,131.2507,2000-01-22,2000-02-05
