city_eng,start_median,full_median,bloom_median,bloom_mean,city,latitude,longitude,march_avg_temp
Wakkanai,2000-05-08,2000-05-11,2 days 00:00:00.000000000,2 days 08:50:31.578947368,稚内,45.4156,141.6734,-0.4947368421052632
Asahikawa,2000-04-16,2000-04-20,4 days 00:00:00.000000000,4 days 08:50:31.578947368,旭川,43.7709,142.365,-1.263157894736842
Abashiri,2000-04-20,2000-04-25,4 days 00:00:00.000000000,3 days 22:44:12.631578947,網走,44.0206,144.2735,-1.0578947368421052
Sapporo,2000-05-03,2000-05-04,2 days 00:00:00.000000000,2 days 00:00:00.000000000,札幌,43.0618,141.3545,1.294736842105263
Obihiro,2000-03-30,2000-04-05,7 days 00:00:00.000000000,7 days 06:18:56.842105263,帯広,42.9233,143.1972,-0.13684210526315793
Kushiro,2000-03-31,2000-04-06,5 days 00:00:00.000000000,5 days 06:18:56.842105263,釧路,42.9849,144.3818,-0.18947368421052638
Muroran,2000-03-21,2000-03-30,10 days 00:00:00.000000000,9 days 06:18:56.842105263,室蘭,42.3152,140.9738,1.5473684210526315
Hakodate,2000-04-06,2000-04-10,4 days 00:00:00.000000000,3 days 21:28:25.263157894,函館,41.7687,140.7291,2.015789473684211
Aomori,2000-03-23,2000-04-01,8 days 00:00:00.000000000,8 days 17:41:03.157894736,青森,40.8222,140.7474,2.8421052631578947
Akita,2000-04-28,2000-05-01,4 days 00:00:00.000000000,3 days 21:28:25.263157894,秋田,39.72,140.1035,4.089473684210526
Morioka,2000-03-31,2000-04-08,6 days 00:00:00.000000000,6 days 08:50:31.578947368,盛岡,39.702,141.1543,2.6789473684210527
Yamagata,2000-03-23,2000-04-02,9 days 00:00:00.000000000,9 days 05:03:09.473684210,山形,38.2554,140.3396,3.9894736842105263
Sendai,2000-01-17,2000-02-09,24 days 00:00:00.000000000,24 days 12:37:53.684210526,仙台,38.2682,140.8694,5.621052631578947
Fukushima,2000-03-25,2000-04-05,10 days 00:00:00.000000000,10 days 02:31:34.736842105,福島,37.3834,140.1833,5.989473684210527
Niigata,2000-04-01,2000-04-07,5 days 00:00:00.000000000,5 days 07:34:44.210526315,新潟,37.9161,2000-01-39364,6.2
Kanazawa,2000-03-27,2000-04-04,8 days 00:00:00.000000000,8 days 16:25:15.789473684,金沢,36.561,136.6566,7.447368421052632
Toyama,2000-03-24,2000-03-31,7 days 00:00:00.000000000,7 days 12:37:53.684210526,富山,36.6958,137.2137,7.036842105263157
Nagano,2000-03-25,2000-04-03,7 days 00:00:00.000000000,6 days 20:12:37.894736842,長野,36.1544,137.9218,4.4
Utsunomiya,2000-03-21,2000-04-01,10 days 00:00:00.000000000,9 days 16:25:15.789473684,宇都宮,36.5551,139.8826,7.626315789473683
Fukui,2000-05-16,2000-05-19,3 days 00:00:00.000000000,3 days 03:47:22.105263157,福井,36.0641,136.2196,7.257894736842106
Maebashi,2000-03-25,2000-04-03,9 days 00:00:00.000000000,8 days 20:12:37.894736842,前橋,36.3895,2000-01-39634,8.010526315789473
Kumagaya,2000-03-21,2000-03-28,8 days 00:00:00.000000000,7 days 16:25:15.789473684,熊谷,36.1472,139.389,8.76842105263158
Mito,2000-03-28,2000-04-04,7 days 00:00:00.000000000,6 days 16:25:15.789473684,水戸,36.3659,140.4714,7.51578947368421
Gifu,2000-03-26,2000-04-03,6 days 00:00:00.000000000,7 days 05:03:09.473684210,岐阜,35.4234,136.7606,9.031578947368422
Nagoya,2000-03-24,2000-04-02,9 days 00:00:00.000000000,9 days 15:09:28.421052631,名古屋,35.1815,136.9066,9.210526315789474
Kofu,2000-01-22,2000-02-05,15 days 00:00:00.000000000,17 days 02:31:34.736842105,甲府,35.6621,138.5683,8.657894736842104
Choshi,2000-03-29,2000-04-05,6 days 00:00:00.000000000,6 days 16:25:15.789473684,銚子,35.734,140.8267,9.800000000000002
Tsu,2000-01-19,2000-04-02,18 days 00:00:00.000000000,-5599 days +01:16:27.533959168,津,34.7186,136.5052,10.01578947368421
Shizuoka,2000-03-22,2000-04-02,10 days 00:00:00.000000000,10 days 01:15:47.368421052,静岡,35.0929,138.319,10.826315789473686
Tokyo,2000-04-17,2000-04-21,5 days 00:00:00.000000000,5 days 20:12:37.894736842,東京,35.6804,139.769,9.947368421052632
Yokohama,2000-05-03,2000-05-07,5 days 00:00:00.000000000,4 days 22:44:12.631578947,横浜,35.4437,139.638,7.978947368421053
