year,total_pop
1920,55963000
1921,56666000
1922,57390000
1923,58119000
1924,58876000
1925,59737000
1926,60741000
1927,61659000
1928,62595000
1929,63461000
1930,64450000
1931,65457000
1932,66434000
1933,67432000
1934,68309000
1935,69254000
1936,70114000
1937,70630000
1938,71013000
1939,71380000
1940,71933000
1941,72218000
1942,72880000
1943,73903000
1944,74433000
1945,72147000
1946,75750000
1947,78101000
1948,80002000
1949,81773000
1950,83200000
1951,84541000
1952,85808000
1953,86981000
1954,88239000
1955,89276000
1956,90172000
1957,90928000
1958,91767000
1959,92641000
1960,93419000
1961,94287000
1962,95181000
1963,96156000
1964,97182000
1965,98275000
1966,99036000
1967,100196000
1968,101331000
1969,102536000
1970,103720000
1971,105145000
1972,107595000
1973,109104000
1974,110573000
1975,111940000
1976,113094000
1977,114165000
1978,115190000
1979,116155000
1980,117060000
1981,117902000
1982,118728000
1983,119536000
1984,120305000
1985,121049000
1986,121660000
1987,122239000
1988,122745000
1989,123205000
1990,123611000
1991,124101000
1992,124567000
1993,124938000
1994,125265000
1995,125570000
1996,125859000
1997,126157000
1998,126472000
1999,126667000
2000,126926000
2001,127316000
2002,127486000
2003,127694000
2004,127787000
2005,127768000
2006,127901000
2007,128033000
2008,128084000
2009,128032000
2010,128057000
2011,127834000
2012,127593000
2013,127414000
2014,127237000
2015,127095000
2016,126933000
2017,126706000
2018,126443000
