被爆者（被爆者健康手帳所持者）数の推移
https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000049131.html

（単位：人）
年度（末）   被爆者数
昭和32年	   200,984
33年	       217,292
34年	       225,981
35年	       235,189
36年	       248,526
37年	       262,978
38年	       268,291
39年	       272,964
40年	       281,595
41年	       301,695
42年	       313,161
43年	       321,699
44年	       326,037
45年	       333,045
46年	       339,698
47年	       346,843
48年	       349,177
49年	       356,527
50年	       364,261
51年	       366,523
52年	       368,932
53年	       370,594
54年	       371,944
55年	       372,264
56年	       372,140
57年	       372,179
58年	       368,259
59年	       367,344
60年	       365,925
61年	       362,547
62年	       359,931
63年	       356,488
平成元年	   352,550
2年	       348,030
3年	       343,712
4年	       339,034
5年	       333,812
6年	       328,629
7年	       323,420
8年	       317,633
9年	       311,704
10年	       304,455
11年	       297,613
12年	       291,824
13年	       285,620
14年	       279,174
15年	       273,918
16年	       266,598
17年	       259,556
18年	       251,834
19年	       243,692
20年	       235,569
21年	       227,565
22年	       219,410
23年	       210,830
24年	       201,779
25年	       192,719
26年	       183,519
27年	       174,080
28年	       164,621
29年	       154,859
30年	       145,844
