year,male_hiroshima,female_hiroshima,sex_unknown,total_hiroshima,accumulated_total_hiroshima,year_japan,male_nagasaki,female_nagasaki,total_nagasaki,accumulated_total_nagasaki
1952,31088,26798,16.0,57902,57902,,,,,
1953,169,220,2.0,391,58293,,,,,
1954,85,126,1.0,212,58505,,,,,
1955,244,279,,523,59028,,,,,
1956,328,333,19.0,680,59708,,,,,
1957,96,89,,185,59893,,,,,
1958,77,96,,173,60066,,,,,
1959,102,80,5.0,187,60253,,,,,
1960,72,89,,161,60414,,,,,
1961,66,73,,139,60553,,,,,
1962,57,68,,125,60678,,,,,
1963,56,71,,127,60805,,,,,
1964,85,84,,169,60974,,,,,
1965,239,230,,469,61443,,,,,
1966,289,261,,550,61993,,,,,
1967,204,226,,430,62423,,,,,
1968,518,583,,1101,63524,43.0,,,26902.0,26902.0
1969,5022,4174,15.0,9211,72735,44.0,,,12649.0,39551.0
1970,1712,1892,2.0,3606,76341,45.0,,,2150.0,41701.0
1971,902,843,,1745,78086,46.0,,,2035.0,43736.0
1972,1188,909,,2097,80183,47.0,,,1717.0,45453.0
1973,1437,1213,,2650,82833,48.0,686.0,552.0,1238.0,46691.0
1974,995,975,,1970,84803,49.0,566.0,546.0,1112.0,47803.0
1975,1175,997,,2172,86975,50.0,537.0,517.0,1054.0,48857.0
1976,1161,998,,2159,89134,51.0,579.0,574.0,1153.0,50010.0
1977,1194,1088,,2282,91416,52.0,612.0,598.0,1210.0,51220.0
1978,1185,994,,2179,93595,53.0,621.0,613.0,1234.0,52454.0
1979,1125,965,,2090,95685,54.0,625.0,638.0,1263.0,53717.0
1980,1204,1075,,2279,97964,55.0,685.0,701.0,1386.0,55103.0
1981,1496,1257,,2753,100717,56.0,796.0,791.0,1587.0,56690.0
1982,1650,1410,,3060,103777,57.0,1029.0,859.0,1888.0,58578.0
1983,3075,2104,,5179,108956,58.0,1846.0,1545.0,3391.0,61969.0
1984,2526,1789,,4315,113271,59.0,1195.0,1022.0,2217.0,64186.0
1985,17009,8410,,25419,138690,60.0,1297.0,1117.0,2414.0,66600.0
1986,27001,22419,,4900,143590,61.0,3811.0,2397.0,6208.0,72808.0
1987,26774,19427,,4587,148177,62.0,1233.0,1126.0,2359.0,75167.0
1988,2518,1958,,4473,152650,63.0,1214.0,1081.0,2295.0,77462.0
1989,2481,1943,,4421,157071,1.0,1178.0,1094.0,2272.0,79734.0
1990,5547,4628,,10172,167243,2.0,4648.0,4044.0,8692.0,88426.0
1991,2672,2115,,4781,172024,3.0,1228.0,1202.0,2430.0,90856.0
1992,2721,2223,,4940,176964,4.0,2408.0,2584.0,4989.0,95845.0
1993,2646,2232,,4872,181836,5.0,1698.0,1702.0,3400.0,99245.0
1994,2811,2298,1.0,5104,186940,6.0,1544.0,1486.0,3030.0,102275.0
1995,2728,2366,,5080,192020,7.0,1526.0,1547.0,3073.0,105348.0
1996,2759,2271,,5025,197045,8.0,1340.0,1351.0,2691.0,108039.0
1997,2755,2321,,5073,202118,9.0,3920.0,3711.0,7630.0,115669.0
1998,2688,2239,,4927,207045,10.0,1625.0,1561.0,3186.0,118855.0
1999,2705,2366,,5071,212116,11.0,1328.0,1405.0,2733.0,121588.0
2000,2625,2396,,5021,217137,12.0,1312.0,1291.0,2603.0,124191.0
2001,2577,2180,,4756,221893,13.0,1225.0,1214.0,2439.0,126630.0
2002,2572,2405,,4977,226870,14.0,1224.0,1340.0,2563.0,129193.0
2003,2636,2414,,5050,231920,15.0,1267.0,1425.0,2692.0,131885.0
2004,2631,2511,,5142,237062,16.0,1361.0,1346.0,2707.0,134592.0
2005,2782,2593,,5375,242437,17.0,1383.0,1365.0,2747.0,137339.0
2006,2766,2584,,5350,247787,18.0,1366.0,1465.0,2805.0,140144.0
2007,2604,2617,,5221,253008,19.0,1466.0,1603.0,2980.0,143124.0
2008,2620,2682,,5302,258310,20.0,1406.0,1652.0,2860.0,145984.0
2009,2792,2843,,5635,263945,21.0,1590.0,1714.0,3282.0,149266.0
2010,2656,2845,,5501,269446,22.0,1517.0,1597.0,3010.0,152276.0
2011,2820,2965,,5784,275230,23.0,1504.0,1784.0,3270.0,155546.0
2012,2698,3031,,5729,280959,24.0,1542.0,1763.0,3208.0,158754.0
2013,2709,3150,,5859,286818,25.0,1603.0,1801.0,3329.0,162083.0
2014,2528,2979,,5507,292325,26.0,1538.0,1817.0,3326.0,165409.0
2015,2411,2948,,5359,297684,27.0,1510.0,1863.0,3358.0,168767.0
2016,2478,3033,,5511,303195,28.0,1510.0,1977.0,3463.0,172230.0
2017,2454,3076,,5530,308725,29.0,1522.0,2029.0,3513.0,175743.0
2018,2423,2970,,5393,314118,30.0,1562.0,1949.0,3483.0,179226.0
