year,accumulated_total_hiroshima,accumulated_total_nagasaki,accumulated_total_all
1945,,,
1946,,,
1947,,,
1948,,,
1949,,,
1950,,,
1951,,,
1952,57902,,57902.0
1953,58293,,58293.0
1954,58505,,58505.0
1955,59028,,59028.0
1956,59708,,59708.0
1957,59893,,59893.0
1958,60066,,60066.0
1959,60253,,60253.0
1960,60414,,60414.0
1961,60553,,60553.0
1962,60678,,60678.0
1963,60805,,60805.0
1964,60974,,60974.0
1965,61443,,61443.0
1966,61993,,61993.0
1967,62423,,62423.0
1968,63524,26902.0,90426.0
1969,72735,39551.0,112286.0
1970,76341,41701.0,118042.0
1971,78086,43736.0,121822.0
1972,80183,45453.0,125636.0
1973,82833,46691.0,129524.0
1974,84803,47803.0,132606.0
1975,86975,48857.0,135832.0
1976,89134,50010.0,139144.0
1977,91416,51220.0,142636.0
1978,93595,52454.0,146049.0
1979,95685,53717.0,149402.0
1980,97964,55103.0,153067.0
1981,100717,56690.0,157407.0
1982,103777,58578.0,162355.0
1983,108956,61969.0,170925.0
1984,113271,64186.0,177457.0
1985,138690,66600.0,205290.0
1986,143590,72808.0,216398.0
1987,148177,75167.0,223344.0
1988,152650,77462.0,230112.0
1989,157071,79734.0,236805.0
1990,167243,88426.0,255669.0
1991,172024,90856.0,262880.0
1992,176964,95845.0,272809.0
1993,181836,99245.0,281081.0
1994,186940,102275.0,289215.0
1995,192020,105348.0,297368.0
1996,197045,108039.0,305084.0
1997,202118,115669.0,317787.0
1998,207045,118855.0,325900.0
1999,212116,121588.0,333704.0
2000,217137,124191.0,341328.0
2001,221893,126630.0,348523.0
2002,226870,129193.0,356063.0
2003,231920,131885.0,363805.0
2004,237062,134592.0,371654.0
2005,242437,137339.0,379776.0
2006,247787,140144.0,387931.0
2007,253008,143124.0,396132.0
2008,258310,145984.0,404294.0
2009,263945,149266.0,413211.0
2010,269446,152276.0,421722.0
2011,275230,155546.0,430776.0
2012,280959,158754.0,439713.0
2013,286818,162083.0,448901.0
2014,292325,165409.0,457734.0
2015,297684,168767.0,466451.0
2016,303195,172230.0,475425.0
2017,308725,175743.0,484468.0
2018,314118,179226.0,493344.0
