year_japan,male,female,total,accumulated_total
43,,,26902,26902
44,,,12649,39551
45,,,2150,41701
46,,,2035,43736
47,,,1717,45453
48,686,552,1238,46691
49,566,546,1112,47803
50,537,517,1054,48857
51,579,574,1153,50010
52,612,598,1210,51220
53,621,613,1234,52454
54,625,638,1263,53717
55,685,701,1386,55103
56,796,791,1587,56690
57,1029,859,1888,58578
58,1846,1545,3391,61969
59,1195,1022,2217,64186
60,1297,1117,2414,66600
61,3811,2397,6208,72808
62,1233,1126,2359,75167
63,1214,1081,2295,77462
1,1178,1094,2272,79734
2,4648,4044,8692,88426
3,1228,1202,2430,90856
4,2408,2584,4989,95845
5,1698,1702,3400,99245
6,1544,1486,3030,102275
7,1526,1547,3073,105348
8,1340,1351,2691,108039
9,3920,3711,7630,115669
10,1625,1561,3186,118855
11,1328,1405,2733,121588
12,1312,1291,2603,124191
13,1225,1214,2439,126630
14,1224,1340,2563,129193
15,1267,1425,2692,131885
16,1361,1346,2707,134592
17,1383,1365,2747,137339
18,1366,1465,2805,140144
19,1466,1603,2980,143124
20,1406,1652,2860,145984
21,1590,1714,3282,149266
22,1517,1597,3010,152276
23,1504,1784,3270,155546
24,1542,1763,3208,158754
25,1603,1801,3329,162083
26,1538,1817,3326,165409
27,1510,1863,3358,168767
28,1510,1977,3463,172230
29,1522,2029,3513,175743
30,1562,1949,3483,179226
