County,Total,Dems,Repubs,Dem,Repub,Lib,Con
Adams,341236,32670,185697,13,76,0,0
Alexander,12597,662,2546,21,79,0,0
Bond,35016,6003,13588,29,65,8,1
Boone,103475,33681,31373,50,47,1,1
Brown,33951,595,787,43,57,0,3
Bureau,93709,23857,37066,36,56,0,0
Calhoun,8819,3636,3320,52,48,0,0
Carroll,56093,7296,20932,25,73,2,0
Cass,25969,4690,11195,29,70,0,0
Champaign,1195410,685062,192689,76,21,0,2
Christian,154858,15447,71986,18,82,0,0
Clark,57086,10499,16228,33,52,1,0
Clay,19247,7114,1987,78,22,0,0
Clinton,177775,6304,96887,6,93,0,0
Coles,105459,46792,16403,73,26,0,1
Cook,134627782,38510748,14219285,71,26,50,38
Crawford,23226,4184,11251,26,69,0,0
Cumberland,4357,579,1052,35,64,0,2
De Kalb,521783,163772,86033,64,34,46,1
De Witt,37209,4002,9949,28,70,0,0
Douglas,34207,2313,14345,14,85,0,1
Du Page,12641121,4005561,3406133,52,45,17,5
Edgar,12700,1385,7052,16,82,8,1
Edwards,5070,439,350,56,44,0,0
Effingham,173553,8841,110220,7,89,1,0
Fayette,16855,2686,7507,24,67,0,0
Ford,28756,6788,7137,44,46,0,4
Franklin,295627,7033,244822,3,93,0,4
Fulton,69462,24384,17999,55,41,0,1
Gallatin,22646,5945,6043,50,50,0,1
Greene,37967,5720,16424,25,73,0,1
Grundy,147069,19882,41937,31,66,0,1
Hamilton,122756,230,93628,0,95,0,10
Hardin,10832,349,8790,4,96,0,1
Henderson,12792,1521,3988,19,51,0,0
Henry,117639,19613,35536,35,63,8,1
Iroquois,35690,9187,15038,37,60,1,0
Jackson,355700,101831,174754,34,58,0,1
Jasper,10680,400,7347,5,89,0,0
Jefferson,167913,10705,99690,8,75,0,0
Jersey,55544,8741,29041,22,75,2,0
Jo Daviess,85218,36912,7273,80,16,0,1
Johnson,12983,1555,2851,35,64,0,0
Kane,2662100,879665,779820,52,46,0,1
Kankakee,247713,46934,75932,33,53,1,0
Kendall,252489,82338,42710,65,34,0,1
Knox,169605,44378,39851,51,46,1,0
La Salle,247926,46260,46098,47,47,1,1
Lake,55026190,5401852,4407505,53,44,97,3
Lawrence,17136,2813,9529,21,72,2,0
Lee,58994,17233,10577,61,38,1,0
Livingston,51264,8011,6179,46,36,3,2
Logan,40575,6539,20394,24,75,3,0
Macon,548649,93988,149994,36,58,1,0
Macoupin,63581,19524,20229,49,50,0,2
Madison,1841110,1098101,226400,77,16,1,3
Marion,52136,18981,8507,67,30,0,0
Marshall,38289,12079,12907,43,46,6,2
Mason,12723,1272,5354,19,80,0,0
Massac,7685,1270,1100,54,46,0,0
Mc Donough,89531,35716,19501,63,34,2,2
Mc Henry,1207290,384953,270270,57,40,4,15
Mc Lean,1073609,213395,176436,53,44,0,1
Menard,23171,6208,5980,50,49,0,5
Mercer,31346,5077,15136,22,66,0,0
Monroe,282825,42569,122631,23,65,0,0
Montgomery,92793,15365,50855,23,76,2,2
Morgan,197830,10923,143620,7,90,1,0
Moultrie,43083,16339,3794,78,18,0,0
Ogle,88725,19119,12609,59,39,0,4
Peoria,1912165,338714,558306,35,59,1,0
Perry,27452,3549,17158,17,81,2,0
Piatt,91877,29340,32458,47,52,1,2
Pike,15465,1360,5116,20,76,0,0
Pulaski,5418,660,2495,21,79,0,0
Putnam,9122,2211,2927,43,57,0,1
Randolph,104127,14277,71023,17,83,0,0
Richland,24310,6381,4364,57,39,0,7
Rock Island,721081,294686,152600,65,34,0,1
Saline,393713,5511,283432,2,92,4,13
Sangamon,2248492,944548,483004,65,33,0,20
Schuyler,11664,4880,4733,47,46,0,0
Scott,10724,385,8040,5,95,0,1
Shelby,20896,7842,2393,76,23,0,0
St Clair,1748816,987768,287272,71,21,0,2
Stark,14958,728,7766,9,91,5,0
Stephenson,136050,57032,40892,57,41,0,2
Tazewell,344052,48518,126012,27,69,0,0
Union,58500,14311,29435,33,67,0,0
Vermilion,90435,10970,23624,31,67,1,1
Wabash,16394,5424,6061,47,52,0,0
Warren,25336,6222,4404,57,40,3,1
Washington,43278,3628,21526,14,86,0,0
Wayne,47539,8468,30594,22,78,0,0
White,93490,35927,9781,77,21,0,0
White,32638,2872,7368,28,72,0,7
Will,2084601,451026,651674,40,58,0,0
Williamson,484229,60845,301076,16,81,0,8
Winnebago,886161,377803,247795,59,38,0,1
Woodford,86809,11426,36218,24,75,1,0
