County,"July 1 2010
Estimates","July 1 2011
Estimates","July 1 2012
Estimates","July 1 2013
Estimates","July 1 2014
Estimates","July 1 2015
Estimates"
Illinois,12842030,12869360,12875280,12882250,12880552,12860030
Adams,67140,67270,67360,66760,66918,66380
Alexander,8230,8050,7740,7310,7161,6850
Bond,17780,17800,17570,17220,17136,16610
Boone,54180,54320,54070,53740,53767,53540
Brown,6920,6900,6950,6920,6902,6830
Bureau,34920,34620,34210,33850,33581,33200
Calhoun,5090,5040,4990,4940,4860,4780
Carroll,15360,15260,14820,14740,14546,14380
Cass,13630,13630,13350,13300,13092,12890
Champaign,201370,201860,202920,203030,204465,206640
Christian,34800,34820,34480,34120,33781,33400
Clark,16300,16270,16280,16060,15993,15790
Clay,13810,13770,13770,13600,13512,13460
Clinton,37840,38010,37890,37460,37373,37310
Coles,53950,53810,53560,52630,52771,51610
Cook,5199970,5220620,5228250,5253200,5252865,5250510
Crawford,19830,19890,19760,19580,19476,19490
Cumberland,11050,11240,11080,11090,11004,11010
DeKalb,105190,104630,104700,104290,105545,104580
DeWitt,16580,16570,16510,16330,16212,16240
Douglas,19980,19880,19840,19750,19717,19640
DuPage,917940,923790,928500,930640,933763,934100
Edgar,18530,18450,18300,17970,17820,17590
Edwards,6730,6670,6680,6560,6508,6440
Effingham,34230,34310,34330,34190,34226,34250
Fayette,22140,22190,22040,21930,21742,21720
Ford,14070,13970,13970,13850,13726,13680
Franklin,39570,39690,39450,38970,38822,38690
Fulton,37060,36980,36680,36330,35716,35440
Gallatin,5590,5530,5440,5380,5283,5220
Greene,13880,13870,13600,13460,13353,13220
Grundy,50130,50130,50310,50490,50823,50940
Hamilton,8460,8450,8350,8220,8167,8060
Hancock,19110,18970,18700,18550,18638,18520
Hardin,4310,4310,4270,4280,4233,4020
Henderson,7330,7210,7020,6860,6850,6800
Henry,50440,50300,49980,49490,49252,49030
Iroquois,29660,29540,29230,28790,28578,28380
Jackson,60360,60370,59920,59530,59662,59460
Jasper,9700,9760,9650,9520,9522,9470
Jefferson,38790,38790,38730,38360,38196,38130
Jersey,22960,22860,22690,22550,22502,22200
Jo Daviess,22680,22590,22360,22080,21998,21690
Johnson,12610,12690,12980,12900,12863,12710
Kane,516380,519640,522010,523630,527854,531900
Kankakee,113510,113550,113260,110810,110180,109590
Kendall,115240,116680,118330,118460,120459,122160
Knox,52940,52830,52250,51900,51654,51030
Lake,704490,702390,703210,706620,708559,701710
LaSalle,113840,113600,113370,112770,111902,114460
Lawrence,16830,16860,16940,16910,16751,16580
Lee,35940,35590,35360,35370,35151,34780
Livingston,38880,38500,39080,37970,37674,37220
Logan,30270,30180,29950,29640,29517,28890
McDonough,32610,32520,32460,32130,31666,31520
McHenry,309230,308640,308840,308770,309347,308920
McLean,169840,170700,172450,172380,172269,171900
Macon,110760,110680,110180,110470,109408,107900
Macoupin,47790,47810,47160,46540,46151,45690
Madison,269310,268730,268170,266640,266125,264030
Marion,39440,39310,39090,38760,38602,38180
Marshall,12630,12520,12290,12110,12026,12040
Mason,14630,14510,14370,14120,13549,14900
Massac,15440,15350,15170,14970,14853,15660
Menard,12710,12710,12730,12610,12600,12490
Mercer,16440,16340,16160,15960,15766,15610
Monroe,33010,33220,33270,33190,33387,33580
Montgomery,30090,29930,29560,29240,29395,29130
Morgan,35520,35460,34650,34500,34033,34040
Moultrie,14850,14920,14910,14790,14755,14720
Ogle,53450,53110,52710,52240,51903,51460
Peoria,186280,186920,187360,186180,185290,184430
Perry,22350,22300,22180,22190,22021,21810
Piatt,16720,16670,16480,16270,16266,16180
Pike,16420,16410,16340,16190,15969,15790
Pope,4460,4420,4230,4130,3985,3900
Pulaski,6160,6060,5990,5990,5907,5770
Putnam,6010,5980,5900,5840,5808,5660
Randolph,33450,33350,33030,32830,32750,32500
Richland,16230,16240,16130,16060,15989,15850
Rock Island,147600,147170,146740,146080,145152,144450
St. Clair,270400,270400,269170,268050,266906,264350
Saline,24940,25030,25000,24610,24296,25240
Sangamon,197820,199120,199430,199190,199542,198280
Schuyler,7540,7500,7430,7340,7247,7030
Scott,5350,5260,5270,5180,5116,5150
Shelby,22340,22280,22170,21860,21715,23010
Stark,5940,5840,6050,5940,5880,5820
Stephenson,47700,47420,46860,46540,46086,45500
Tazewell,135440,136040,136070,135320,134780,133880
Union,17770,17740,17640,17530,17441,17320
Vermilion,81590,81620,80890,80690,79727,78930
Wabash,11940,11830,11710,11510,11399,11380
Warren,17700,17840,17750,17510,17796,17480
Washington,14700,14570,14550,14390,14273,14120
Wayne,16750,16690,16580,16290,16150,16030
White,14640,14670,14610,14460,14277,14180
Whiteside,58450,58220,57550,57150,56690,56550
Will,678870,680580,683390,684630,687705,690490
Williamson,66400,66590,66680,66500,66368,66290
Winnebago,295140,293780,292110,292910,290960,289160
Woodford,38660,38860,38780,38570,38608,38510
